"","ASV1","ASV3","ASV6","ASV7","ASV8","ASV9","ASV10","ASV11","ASV13","ASV14","ASV15","ASV16","ASV17","ASV18","ASV19","ASV21","ASV22","ASV23","ASV26","ASV27","ASV28","ASV29","ASV30","ASV31","ASV32","ASV33","ASV34","ASV35","ASV36","ASV38","ASV39","ASV40","ASV41","ASV42","ASV43","ASV44","ASV45","ASV46","ASV47","ASV48","ASV49","ASV50","ASV51","ASV52","ASV53","ASV54","ASV55","ASV57","ASV59","ASV61","ASV62","ASV63","ASV64","ASV66","ASV67","ASV68","ASV69","ASV70","ASV71","ASV73","ASV74","ASV75","ASV77","ASV78","ASV79","ASV82","ASV83","ASV84","ASV85","ASV86","ASV87","ASV88","ASV89","ASV91","ASV92","ASV93","ASV94","ASV95","ASV96","ASV97","ASV98","ASV99","ASV100","ASV101","ASV103","ASV104","ASV105","ASV106","ASV107","ASV109","ASV110","ASV111","ASV112","ASV114","ASV115","ASV116","ASV117","ASV118","ASV119","ASV120","ASV123","ASV124","ASV125","ASV126","ASV128","ASV129","ASV130","ASV131","ASV133","ASV134","ASV135","ASV136","ASV137","ASV138","ASV139","ASV140","ASV143","ASV145","ASV146","ASV147","ASV148","ASV149","ASV151","ASV152","ASV153","ASV155","ASV156","ASV157","ASV159","ASV160","ASV161","ASV162","ASV164","ASV166","ASV168","ASV169","ASV171","ASV172","ASV174","ASV175","ASV176","ASV177","ASV178","ASV179","ASV180","ASV181","ASV182","ASV183","ASV184","ASV185","ASV186","ASV188","ASV189","ASV190","ASV191","ASV192","ASV193","ASV194","ASV195","ASV196","ASV198","ASV199","ASV200","ASV201","ASV202","ASV203","ASV204","ASV206","ASV207","ASV208","ASV209","ASV211","ASV212","ASV214","ASV217","ASV218","ASV219","ASV220","ASV221","ASV222","ASV223","ASV224","ASV225","ASV226","ASV228","ASV231","ASV232","ASV233","ASV234","ASV235","ASV236","ASV237","ASV239","ASV240","ASV241","ASV242","ASV243","ASV244","ASV245","ASV246","ASV247","ASV248","ASV249","ASV250","ASV251","ASV253","ASV254","ASV255","ASV256","ASV257","ASV258","ASV259","ASV261","ASV262","ASV263","ASV264","ASV267","ASV268","ASV269","ASV270","ASV271","ASV272","ASV274","ASV275","ASV276","ASV277","ASV278","ASV279","ASV281","ASV282","ASV284","ASV285","ASV286","ASV287","ASV288","ASV289","ASV290","ASV291","ASV292","ASV293","ASV294","ASV295","ASV297","ASV298","ASV299","ASV300","ASV301","ASV302","ASV303","ASV304","ASV305","ASV306","ASV307","ASV309","ASV310","ASV311","ASV312","ASV313","ASV314","ASV315","ASV316","ASV317","ASV318","ASV319","ASV320","ASV322","ASV323","ASV324","ASV325","ASV326","ASV327","ASV328","ASV329","ASV330","ASV331","ASV332","ASV333","ASV334","ASV335","ASV336","ASV337","ASV338","ASV339","ASV340","ASV341","ASV342","ASV343","ASV344","ASV345","ASV346","ASV347","ASV348","ASV350","ASV351","ASV353","ASV354","ASV355","ASV356","ASV357","ASV360","ASV362","ASV363","ASV364","ASV365","ASV366","ASV367","ASV368","ASV369","ASV371","ASV372","ASV373","ASV374","ASV375","ASV376","ASV377","ASV378","ASV379","ASV380","ASV381","ASV382","ASV383","ASV384","ASV385","ASV386","ASV387","ASV389","ASV390","ASV393","ASV395","ASV397","ASV398","ASV399","ASV400","ASV401","ASV402","ASV403","ASV404","ASV405","ASV406","ASV407","ASV408","ASV409","ASV410","ASV411"
"T19-6",310,190,0,27,0,35,73,43,572,0,83,0,103,0,0,77,0,0,0,272,14,0,0,0,0,0,43,36,5,123,16,278,22,0,0,0,87,77,55,17,0,24,0,0,64,0,89,0,0,78,0,0,0,0,0,0,0,0,0,76,0,0,8,120,0,0,0,31,57,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,65,51,87,0,0,31,0,35,0,0,0,36,0,68,49,56,10,0,0,65,0,0,0,0,52,0,58,0,74,40,38,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,75,0,0,28,0,44,0,27,0,0,0,0,48,0,0,42,0,0,0,0,0,0,0,0,0,0,0,25,0,0,15,22,0,0,0,53,0,0,0,0,0,14,0,0,0,6,0,0,0,0,0,35,0,19,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,60,0,0,12,0,0,15,0,0,43,56,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T2-1",41,0,0,1272,163,62,21,50,15,0,52,0,69,564,212,0,0,0,0,44,43,0,367,0,0,84,49,44,0,0,40,0,0,0,0,134,28,0,31,0,0,28,96,0,11,0,11,0,0,0,0,0,0,0,27,4,0,0,0,23,0,0,0,0,0,37,0,24,19,0,65,0,0,40,22,47,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,0,0,0,0,0,0,0,19,0,42,21,0,0,0,35,0,71,0,0,0,64,0,0,8,0,0,0,0,0,0,0,0,0,0,0,25,0,0,41,0,0,0,0,8,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,12,0,0,0,0,0,0,0,24,45,0,0,12,0,0,0,0,0,0,0,0,0,33,0,20,0,0,43,0,0,0,7,0,23,19,24,0,0,0,0,0,0,0,1,34,0,0,28,0,0,0,0,0,0,0,17,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,17,0,0,0,0,0,0,0,0,0,0,18,0,11,0,0,8,17,0,36,0,0,0,0,0,0,52,23,0,0,0,0,0,0,0,0,28,0,20,26,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,31,0,22,0,0,0,0,0,0,0,0
"T2-15",707,348,0,0,59,159,125,42,6,0,39,0,0,0,0,160,0,0,54,16,0,0,0,0,0,23,0,223,0,43,0,0,50,0,0,16,14,44,0,0,0,0,0,0,49,0,0,0,0,26,0,0,0,45,0,46,46,0,0,8,80,0,0,0,0,0,0,17,0,0,65,0,27,0,646,21,0,0,111,52,15,0,0,0,0,0,0,0,0,0,0,0,35,7,18,21,48,0,0,31,0,117,0,0,0,0,3,0,0,0,0,66,8,0,0,0,0,0,0,0,0,0,66,36,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,31,17,24,0,25,0,0,0,0,0,0,0,32,0,0,0,144,34,344,18,0,0,0,0,7,0,7,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,116,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,15,0,0,0,0,0,36,0,0,0,0,24,0,0,0,0
"T2-3",1409,702,0,94,42,394,96,25,32,0,210,0,143,39,25,24,0,0,0,11,0,0,82,0,0,28,0,0,0,0,181,14,47,0,0,33,0,0,36,0,0,0,16,0,52,0,17,0,0,64,0,0,0,0,0,32,0,0,0,5,0,0,37,0,0,43,0,11,0,0,0,46,26,7,0,0,0,0,0,0,32,0,0,0,0,0,7,0,85,0,0,0,17,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,76,0,4,0,0,0,0,0,0,11,0,0,0,20,31,0,0,0,20,0,26,0,0,23,0,0,0,0,0,0,0,0,0,17,0,14,0,0,0,19,30,39,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,10,0,0,0,1,0,0,0,0,31,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,37,17,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,2,6,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,29,0,0,26,0,0,0,7,0,0,0,0,0,0,0,5,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,22,0,7,0,12,0,4,0,0,9,0,0,0,0
"T2-6",895,474,0,35,86,190,90,9,208,0,93,0,45,0,0,45,0,0,161,64,0,0,0,0,0,45,45,40,52,315,70,77,12,0,0,24,39,57,10,0,0,0,0,0,65,7,30,0,0,44,0,0,0,84,0,18,33,0,0,35,0,0,186,33,0,0,0,17,47,0,0,0,17,0,0,0,31,0,0,0,54,0,0,0,0,0,42,0,30,0,0,0,0,4,24,14,17,0,38,0,94,13,0,0,11,0,22,27,0,21,0,20,35,0,11,0,0,17,0,22,0,23,17,25,0,7,0,0,17,0,0,0,14,0,0,0,0,0,3,0,0,20,0,0,0,0,0,0,11,17,9,16,23,0,0,0,0,0,46,0,0,5,0,0,0,0,5,0,0,0,0,0,0,10,0,0,17,12,0,0,26,16,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,6,0,0,17,0,0,0,0,0,0,0,12,0,0,0,18,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,17,15,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,18,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,17,0,23,0,0,0,0,0,0,0,13,0,0,0,0,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,36,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"T2-S-1",147,71,349,0,0,13,37,201,16,198,0,21,0,3,0,33,86,165,0,0,9,64,0,131,71,0,93,12,0,16,0,11,0,18,295,24,0,0,0,73,33,0,0,57,0,91,0,40,45,0,0,56,55,0,0,8,30,29,75,0,10,0,0,0,18,0,31,0,0,33,0,35,0,0,0,0,0,51,0,23,0,64,148,86,0,24,7,24,0,12,33,49,0,0,0,2,24,47,0,0,0,0,39,0,0,22,0,0,0,0,0,0,0,17,0,0,22,0,0,0,34,0,0,0,43,27,0,22,0,0,0,44,13,12,0,18,13,21,3,15,24,0,22,0,0,0,0,15,0,0,10,0,0,0,8,0,9,25,0,12,14,0,8,34,25,0,0,0,0,11,0,12,3,0,0,9,0,0,17,35,0,0,0,29,0,0,13,0,6,0,18,8,0,27,0,11,0,0,0,14,12,21,20,0,12,0,0,7,0,0,0,0,9,45,0,0,14,16,0,0,0,0,0,0,0,0,0,20,48,0,17,14,0,0,10,5,15,7,22,0,0,17,0,23,0,0,0,0,0,0,10,0,13,0,0,4,33,18,10,0,0,17,0,0,0,0,8,0,0,0,0,8,0,11,7,0,0,4,9,36,0,11,25,0,11,0,14,0,0,0,18,0,6,0,0,0,20,0,0,11,0,0,2,10,0,16,0,15,13,0,20,0,0,11,0,8,0,17,0,0,7,0,0,0,9,0,17,0,0,0,0,4,0,0,0,0,0,3,9,0,0,0,0,0
"T2-S-2",155,62,328,0,0,7,53,197,0,187,0,11,0,0,0,34,69,226,0,0,14,76,0,101,94,0,80,37,0,14,3,0,0,0,183,15,0,0,8,43,23,10,0,61,8,97,0,26,5,0,0,116,47,0,0,47,20,72,37,14,0,0,0,0,32,0,61,0,4,34,0,36,0,0,0,0,0,34,11,30,11,38,96,52,0,94,0,30,0,36,19,48,0,0,0,0,19,27,0,0,0,0,22,0,0,89,2,0,0,0,0,0,0,17,0,0,77,0,0,0,44,0,0,0,42,49,0,23,0,0,0,44,21,11,10,38,20,39,3,35,20,0,18,0,0,0,0,19,0,0,0,0,0,0,26,0,6,24,0,0,21,0,12,27,0,0,0,0,0,35,41,0,13,0,0,12,0,0,15,20,0,0,0,26,29,0,28,0,13,0,15,0,0,19,0,34,35,0,0,0,5,0,4,0,22,0,11,0,0,7,0,0,0,20,0,0,3,0,9,16,0,0,0,0,0,0,0,0,26,0,47,19,0,0,11,11,11,9,0,0,0,0,0,18,0,0,0,0,8,0,0,0,0,28,6,34,15,13,0,20,0,8,0,0,0,0,15,0,0,0,0,13,0,0,26,0,0,0,0,0,0,5,20,0,8,0,12,0,0,0,1,0,0,0,0,0,13,0,0,13,0,0,11,6,0,0,0,26,0,0,7,0,0,8,0,8,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"T20-1",45,21,0,1319,116,99,82,36,20,0,81,0,86,492,233,0,0,0,17,0,359,0,209,0,0,45,0,0,0,0,99,0,0,0,0,116,0,0,55,0,0,27,105,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,10,0,0,0,29,0,0,77,0,0,53,0,190,0,0,0,0,0,0,0,0,108,0,28,0,51,0,0,0,0,0,0,0,0,0,0,0,0,12,0,41,16,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,47,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,32,0,0,18,0,0,0,0,0,0,0,21,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,58,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
"T20-15",818,417,0,0,15,80,123,41,81,0,81,0,86,0,0,422,0,0,0,26,0,0,0,24,0,0,0,148,0,43,31,47,0,0,0,16,46,44,0,0,0,11,0,0,42,0,0,0,9,79,0,0,0,0,0,44,52,0,0,0,216,0,0,0,0,0,0,42,20,0,34,0,10,0,15,0,0,0,63,45,67,0,0,0,0,0,0,0,0,0,0,0,0,8,43,50,80,0,0,200,21,24,26,0,32,0,12,0,0,0,0,48,0,0,0,0,0,0,0,24,0,0,0,61,0,24,0,0,16,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,43,0,22,0,25,0,0,13,0,12,0,0,0,0,0,8,0,35,0,0,0,36,37,19,125,0,0,0,0,14,0,0,43,12,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,10,0,0,0,0,0,0,0,3,0,0,2,15,0,0,55,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,21,0,0,11,0,0,0,0,9,0,0,0,20,0,0,0,0,47,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,25,0,0,0,0,35,0,0,0,0
"T20-3",196,83,0,243,90,75,77,6,105,0,46,0,87,111,408,40,0,0,328,30,299,0,0,0,0,51,0,0,2,0,93,57,135,0,0,48,73,43,32,0,0,23,222,0,24,0,46,0,0,21,0,0,0,169,158,0,6,0,0,31,0,0,0,0,0,0,0,37,30,0,23,0,14,24,0,53,0,0,0,0,13,0,0,0,101,0,23,0,48,12,0,0,86,37,7,0,0,0,0,0,4,0,0,19,8,0,14,0,0,32,15,11,26,0,26,0,0,13,0,15,0,0,13,0,0,0,0,0,26,0,0,0,13,0,0,0,0,0,0,0,0,0,0,47,0,20,0,0,0,0,0,16,0,0,0,80,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,21,0,0,0,0,20,13,0,0,0,5,0,0,0,46,0,0,0,0,0,21,64,0,0,0,0,4,55,0,0,0,0,0,0,30,0,0,0,0,16,0,0,0,0,0,0,0,0,0,22,16,39,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,39,0,0,0,48,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,29,0,0,0,0,0,0,0,0,0,19,0,0,0,0,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"T20-6",142,71,0,37,0,33,52,0,461,0,34,0,91,24,0,0,0,0,0,180,0,0,0,0,0,0,36,13,922,37,10,233,0,0,0,12,105,99,38,0,0,44,0,15,19,0,81,0,0,47,0,0,0,0,0,0,16,0,0,85,0,0,0,92,0,34,0,34,65,0,33,0,0,0,0,0,445,0,0,0,28,0,0,0,0,0,12,0,0,0,0,0,0,11,40,8,0,0,87,0,18,14,0,0,49,0,36,44,69,2,0,0,41,0,0,0,0,44,28,50,0,57,19,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,19,0,0,0,0,31,22,0,4,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,23,0,0,17,0,0,0,20,40,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,33,0,5,0,0,20,0,0,0,0,0,23,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,16,0,0,0,0,0,0,0,0,16,0,20,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,21,0,0,0,0,0,0,24,0,20,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"T20-S-1",116,70,158,0,100,114,85,122,9,76,11,55,53,3,37,29,41,84,0,24,116,20,0,77,76,63,81,30,0,9,13,0,21,28,0,24,3,0,117,62,26,20,26,51,24,39,44,15,12,25,0,47,48,0,71,8,26,33,20,11,0,0,48,0,45,19,54,0,0,13,23,51,0,78,0,53,0,53,0,26,0,29,3,34,31,47,0,23,0,14,30,29,0,2,0,1,22,19,0,0,0,0,22,31,10,22,0,0,29,0,25,0,16,11,18,0,37,0,66,0,8,0,0,0,27,4,27,9,0,0,0,0,0,30,5,6,2,22,6,14,20,13,0,46,0,21,0,14,0,0,0,4,0,0,12,31,19,8,0,7,28,0,16,18,15,3,0,0,0,15,0,0,1,0,0,6,0,2,7,21,0,0,5,9,14,16,31,0,0,41,0,8,0,14,0,6,4,0,19,0,0,12,5,46,17,16,18,10,0,9,0,0,6,0,112,0,9,0,0,12,0,0,13,0,38,39,0,0,13,0,7,11,21,0,0,3,9,10,6,0,0,0,0,0,12,8,0,0,4,0,0,0,0,30,5,0,2,0,7,10,0,0,0,0,0,27,14,28,0,0,0,6,9,9,0,0,0,9,6,6,0,0,9,21,7,0,0,0,0,0,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,5,0,22,0,0,0,0,4,5,0,0,0,2,0,0,8,0,16,24,0,0,0,0,0,0,0,0,0,0,0,11,0,11,8,0,0,0,0,24
"T20-S-2",164,70,257,0,4,40,25,237,14,151,0,56,0,0,0,33,117,121,0,0,0,50,0,132,31,0,97,18,0,3,2,0,0,18,103,0,0,0,0,88,73,12,0,122,0,74,0,41,35,0,0,67,49,0,0,22,39,0,37,0,0,0,0,0,73,14,74,0,0,89,0,47,0,13,0,0,0,112,0,26,15,59,61,34,0,37,15,43,0,15,24,57,9,0,0,0,19,44,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,35,0,0,30,0,0,0,11,0,0,0,57,43,0,19,0,0,0,28,0,48,0,19,25,0,3,0,15,0,20,0,0,0,0,34,18,11,0,0,0,0,18,0,33,24,0,16,36,0,0,36,17,0,0,0,0,22,18,0,0,0,0,12,0,0,30,8,0,0,0,0,0,0,28,0,26,0,26,7,0,0,0,22,9,0,0,0,0,0,14,0,18,0,22,8,0,0,0,15,15,0,139,0,6,0,19,0,0,0,0,0,0,0,0,22,14,0,0,25,0,0,12,31,0,13,16,0,26,0,0,16,0,0,0,0,4,0,14,0,0,26,9,0,6,18,14,0,0,1,0,0,0,0,0,0,0,0,0,11,11,0,13,0,0,14,46,12,0,0,19,0,10,0,0,0,0,0,0,0,26,0,0,0,0,0,0,9,0,0,5,0,0,26,0,6,0,0,5,0,0,15,0,0,0,6,0,4,3,0,42,0,0,0,0,0,0,0,0,18,0,0,0,0,0,15,2,0,0,0,0,31
"T21-1",62,41,0,367,100,108,140,0,0,0,35,0,57,216,456,0,0,0,468,6,482,0,12,0,0,60,0,0,0,4,25,1,181,0,0,72,0,0,19,0,0,34,246,0,22,0,0,0,0,0,0,0,0,219,233,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,20,0,82,0,0,0,0,0,0,0,0,132,0,51,0,18,7,0,0,98,3,1,0,0,0,5,0,0,10,0,10,4,0,0,0,0,0,15,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,38,0,37,0,0,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,20,0,0,0,30,50,0,0,0,0,0,41,0,0,0,0,22,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,53,0,18,0,72,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
"T21-15",969,489,0,17,44,20,134,30,52,0,66,0,0,0,0,122,0,0,33,42,0,0,0,0,0,30,0,69,0,91,27,27,32,0,0,25,63,42,29,0,0,0,0,0,42,0,22,0,0,40,0,0,0,17,0,26,35,0,0,21,40,0,0,22,0,0,0,25,22,0,55,0,18,0,539,11,0,0,53,0,30,0,0,0,0,0,20,0,0,0,0,0,0,59,22,99,40,0,12,0,19,5,0,0,20,0,39,0,0,0,0,40,0,0,0,0,0,13,0,20,0,0,33,14,0,4,67,0,11,0,0,0,0,0,0,0,6,0,14,0,0,43,0,0,41,0,10,0,46,26,0,19,18,0,7,0,0,4,0,0,0,35,0,0,0,0,24,222,22,0,0,0,0,0,0,0,15,19,0,0,0,11,43,0,0,0,0,0,0,0,0,16,0,0,0,0,0,39,0,0,13,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,16,52,0,0,13,0,0,20,0,0,0,0,0,0,18,0,18,7,0
"T21-3",957,497,0,153,50,189,155,27,87,0,151,0,186,68,84,137,0,0,117,25,51,0,68,0,0,0,0,0,0,0,270,31,0,0,0,57,27,43,41,0,0,0,0,0,60,0,50,0,0,35,0,0,0,64,0,0,68,0,0,13,0,0,0,0,0,0,0,14,13,0,0,0,81,0,0,0,0,0,0,0,67,0,0,0,22,0,0,0,133,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,89,0,0,8,0,0,0,0,0,0,0,0,0,30,0,0,12,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,82,0,0,0,0,65,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,11,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,42,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,25,53,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,21,0,0,0,47,0,0,0,12,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"T21-6",498,254,0,58,0,70,58,21,409,0,43,0,213,38,0,16,0,0,51,204,0,0,0,10,0,1,49,37,9,97,0,224,7,0,0,0,122,64,0,0,0,10,0,12,21,0,98,0,0,58,0,0,0,28,0,26,41,0,0,91,0,0,14,99,0,0,23,60,76,0,14,0,14,0,0,0,0,0,0,0,47,0,0,0,0,0,7,0,0,0,0,0,0,18,39,6,0,0,58,0,14,6,0,0,55,0,65,65,69,11,12,0,81,0,0,0,0,54,0,28,0,49,0,20,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0,0,23,0,0,31,0,11,0,13,16,6,36,60,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,30,14,0,0,19,15,0,0,0,0,0,18,0,18,0,10,0,0,0,0,0,39,0,29,0,0,56,0,0,3,0,0,13,0,27,0,0,0,0,50,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,38,11,0,0,0,0,0,0,13,0,28,0,25,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,13,29,0,0,36,13,0,0,0,0,0,21,0,0,0,0,0,0,7,0,33,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,29,0,0,0,0,0,0,0,8,0,13,0,0,0,0,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
